group,applicants,risk_score,dti,emp_length_yrs,amount_requested
approved today,2260668.000000001,698.1883824999999,18.166230869180882,6.010007640027376,14409.810624999996
swap-in (would approve),1527228.757878108,663.3273849778572,9.832695050178955,1.4975933278619433,7149.417588893981
swap-out (would decline),1526165.66346,685.1287855783261,20.32214912863791,5.861385050627751,15804.10895873914
"declined, stays declined",7543855.047068012,628.0145257811636,27.22057715353333,0.8787169102277683,13789.123039526872
