method,est_reject_bad_rate,est_ttd_bad_rate,claimed_ttd_gini
parcelling,0.48178973349396176,0.4253237192518568,0.4248862673441747
fuzzy,0.49501105956419156,0.43590741000505756,0.4601899750715568
ipw,0.20913118553604665,0.2070601549562101,0.27672966304172597
heckman,0.2459469772208431,0.23653124975837997,0.2861102356424212
heckman_with_exclusion,0.24125980142296935,0.23277915871342172,
