zip3,n_apps,observed_declines,expected_declines,var,observed_rate,expected_rate,excess_rate_pp,z,flagged
331,5797,2487.0,2324.0606361154337,330.2642929359418,0.42901500776263585,0.4009074756107355,2.8107532151900374,8.965927145745084,True
330,5124,2217.0,2112.1028968584737,293.39941092997935,0.43266978922716626,0.4121980673025905,2.047172192457575,6.123981584007232,True
785,1819,999.0,942.8364621043968,97.12614060968659,0.5492028587135789,0.5183268070942258,3.087605161935303,5.6988390478271045,True
967,2601,1200.0,1143.2250214511803,144.2107213357443,0.461361014994233,0.43953288021960024,2.1828134774632746,4.727790288482471,True
922,1889,786.0,741.2785051196752,103.61394524146971,0.41609317098994175,0.3924184780940578,2.3674692895883975,4.393465362742699,True
799,1810,899.0,856.9425613560873,94.9401846413044,0.4966850828729282,0.47344892892601503,2.323615394691314,4.316361240065602,True
082,654,288.0,263.45609791302405,32.85313213395023,0.44036697247706424,0.4028380702034007,3.7528902273663567,4.282084365906108,True
113,3204,1151.0,1092.1403383103968,196.77363757457826,0.35923845193508114,0.34086777100823873,1.8370680926842409,4.195988647425995,True
302,2721,1345.0,1296.79120336935,132.8085426282769,0.49430356486585814,0.47658625629156554,1.77173085742926,4.183244853460291,True
490,1142,558.0,528.0078518607355,58.52972497495469,0.4886164623467601,0.4623536356048472,2.6262826741912884,3.9203002548911354,True
902,2642,1007.0,959.9266960880136,148.60259820691604,0.38115064345193034,0.36333334446934656,1.7817298982583774,3.8615483734371567,True
128,589,285.0,262.8323028655444,35.71577144602597,0.4838709677419355,0.4462348096189209,3.7636158123014574,3.7092880612468977,True
285,962,524.0,500.4728679271115,45.89268045375742,0.5446985446985447,0.5202420664522989,2.445647824624586,3.4729399840842388,True
115,1749,650.0,615.6711243179175,97.92607337625799,0.3716409376786735,0.3520132214510677,1.9627716227605785,3.469048803249985,True
272,1141,535.0,507.2079185205124,65.4985487075492,0.4688869412795793,0.44452928879974796,2.435765247983135,3.4340391002621113,True
283,1721,857.0,824.9313938986222,88.14962136551596,0.4979662986635677,0.4793325937818839,1.8633704881683755,3.4156224361576086,True
114,2754,1154.0,1111.2386537591608,158.06551191030914,0.4190268700072622,0.4034998742771099,1.552699573015226,3.4012049965831306,True
912,569,222.0,202.79975824377055,32.421626299715776,0.39015817223198596,0.35641433786251414,3.3743834369471815,3.3720134577637033,True
333,2439,985.0,945.2305185683905,143.57711314042433,0.40385403854038543,0.38754838809692105,1.6305650443464381,3.319000514040789,True
104,4928,2077.0,2023.1065331388656,272.8772595137709,0.42146915584415584,0.4105329815622698,1.0936174281886035,3.2625144913697706,True
083,599,276.0,258.2927338432687,29.677972162820105,0.4607679465776294,0.4312065673510329,2.9561379226596465,3.250381995023702,True
286,1071,524.0,500.63423203398384,58.93445606575085,0.4892623716153128,0.46744559480297276,2.1816776812340013,3.0436549751949094,True
010,1048,391.0,368.2163834766882,58.51256181250315,0.37309160305343514,0.35135151095103834,2.17400921023968,2.978503438755232,False
087,1028,401.0,379.18280097537894,58.932317204615984,0.39007782101167315,0.36885486476204177,2.1222956249631384,2.8419879654556035,False
321,1175,550.0,526.3439236144587,70.9362379101239,0.46808510638297873,0.44795227541656063,2.0132830966418105,2.808721235934926,False
324,684,344.0,326.8819879251683,37.24765652086733,0.5029239766081871,0.4778976431654507,2.5026333442736415,2.8048126113482432,False
245,733,382.0,364.3746683435641,39.545435041290546,0.5211459754433834,0.4971005025150943,2.404547292828907,2.8027807051785176,False
027,1296,527.0,502.764665323182,74.84373709491013,0.4066358024691358,0.38793569855183796,1.8700103917297817,2.8013752618367636,False
117,4183,1479.0,1436.7555984167736,227.79569596419728,0.3535739899593593,0.3434749219260755,1.009906803328381,2.798958152824018,False
119,690,273.0,255.7414227085537,39.815530534912696,0.39565217391304347,0.37063974305587494,2.5012430857168533,2.7351348196760914,False
968,1066,459.0,437.79031839087855,61.86686510248245,0.43058161350844276,0.41068510167999867,1.9896511828444097,2.6965289922086852,False
287,850,372.0,353.1356108723874,51.7892361762968,0.4376470588235294,0.41545365984986754,2.2193398973661846,2.621337819841843,False
018,1714,656.0,629.1080707242687,105.52761744770369,0.38273045507584597,0.3670408814027239,1.568957367312207,2.6178146507778512,False
906,1787,671.0,644.4358221858537,105.46974451794914,0.37548964745383323,0.3606244108482673,1.4865236605565935,2.5866188110540427,False
780,982,476.0,457.6703621174636,51.69796804974847,0.4847250509164969,0.4660594318915108,1.8665619024986146,2.5492777077604765,False
376,639,349.0,333.6871816243094,36.20901262927243,0.5461658841940532,0.5222021621663684,2.396372202768482,2.5447597689790618,False
190,2145,891.0,863.8905486093337,116.10621983797398,0.4153846153846154,0.4027461765078479,1.2638438876767522,2.51589774645134,False
913,3603,1305.0,1269.6115581040947,198.13625139943719,0.36219816819317235,0.352376230392477,0.9821937800695346,2.5140821848449986,False
313,617,330.0,315.61519258164486,33.543691813896594,0.5348460291734197,0.51153191666393,2.331411250948967,2.483697054974839,False
381,1352,728.0,708.5926762747196,62.045796915465665,0.5384615384615384,0.5241070090789346,1.4354529382603842,2.4638227822427297,False
914,796,323.0,306.99145417107377,42.6650809259702,0.4057788944723618,0.38566765599381125,2.0111238478550564,2.450843594503461,False
291,627,358.0,345.12220416010507,29.43462844808547,0.5709728867623605,0.5504341374164355,2.0538749345924923,2.373625814916882,False
456,608,302.0,288.2292123740995,33.71674233047693,0.4967105263157895,0.4740612045626637,2.2649321753125786,2.3715701593272227,False
482,1441,780.0,760.1510407084271,70.50888352494155,0.5412907702984039,0.5275163363694845,1.3774433928919416,2.363827724850547,False
910,707,267.0,252.01416879826567,40.35387283497439,0.37765205091937765,0.3564556842974055,2.119636662197216,2.359055866847363,False
273,687,300.0,285.53307697880507,38.07657280761974,0.4366812227074236,0.41562311059505835,2.1058112112365244,2.344483846582689,False
310,968,485.0,468.9226982388986,48.920443470089126,0.5010330578512396,0.4844242750401845,1.6608782811055156,2.2986241786351327,False
023,1179,460.0,441.07860266971534,71.56878014196747,0.39016115351993214,0.37411247045777385,1.6048683062158287,2.2366158492314536,False
183,542,241.0,229.36661307727496,29.078060621199697,0.4446494464944649,0.42318563298390216,2.1463813510562755,2.1573641323699833,False
900,5342,2218.0,2179.5630107657353,318.39022368978584,0.4152002995132909,0.4080050563020845,0.7195243211206404,2.154118051107935,False
366,574,316.0,304.57874694146074,30.23797169181247,0.5505226480836237,0.5306249946715343,1.9897653412089378,2.0770044459089387,False
923,2938,1208.0,1182.164972527923,156.87086458764205,0.4111640571817563,0.4023706509625334,0.8793406219222921,2.062708140896158,False
295,1243,671.0,654.5636749686879,63.53502412708846,0.5398230088495575,0.5265998994116556,1.3223109437901837,2.0620449177628646,False
