cost_of_funds_annual,breakeven_bad_rate_36m,profit_forgone_population,swap_in_inferred_bad_rate
0.02,0.174028450983291,-82729738.17303774,0.1251099216084041
0.03,0.1472780651749545,-280241636.8090735,0.1251099216084041
0.045,0.10715248646244975,-576509484.7631271,0.1251099216084041
