cutoff_type,rejection_rate,replicate,n_pool,n_accepted,n_rejected,realised_rejection_rate,truth_ttd_bad_rate,truth_reject_bad_rate,truth_accepted_bad_rate,oracle_ttd_gini,baseline_reported_gini,baseline_actual_ttd_gini,reject_bad_scale,method,est_ttd_bad_rate,est_reject_bad_rate,claimed_gini,actual_ttd_gini,bad_rate_bias,gini_bias,gini_uplift,reject_bad_rate_bias
risk_hard,0.1,0,60000,37854,4173,0.09929331144264401,0.20180270405608414,0.2714517116546631,0.1937965303659439,0.2840796893629425,0.27739511300433617,0.2825847517905098,2.0,none (biased baseline),0.1937965303659439,,0.27739511300433617,0.2825847517905098,-0.008006173690140228,-0.005189638786173623,0.0,
risk_hard,0.1,0,60000,37854,4173,0.09929331144264401,0.20180270405608414,0.2714517116546631,0.1937965303659439,0.2840796893629425,0.27739511300433617,0.2825847517905098,2.0,parcelling,0.22131011594450045,0.5015576323987538,0.3508954558353601,0.2618848651686849,0.019507411888416315,0.08901059066667516,-0.02069988662182487,0.23010592074409075
risk_hard,0.1,0,60000,37854,4173,0.09929331144264401,0.20180270405608414,0.2714517116546631,0.1937965303659439,0.2840796893629425,0.27739511300433617,0.2825847517905098,2.0,fuzzy,0.22071997158879822,0.49561418719456113,0.3500729242503682,0.26272354540321796,0.018917267532714083,0.08734937884715022,-0.01986120638729183,0.22416247553989804
risk_hard,0.1,0,60000,37854,4173,0.09929331144264401,0.20180270405608414,0.2714517116546631,0.1937965303659439,0.2840796893629425,0.27739511300433617,0.2825847517905098,2.0,ipw,0.19099992551814984,0.19629849675335792,0.2759305515549626,0.2827779178813299,-0.010802778537934293,-0.006847366326367288,0.00019316609082009606,-0.07515321490130517
risk_hard,0.1,0,60000,37854,4173,0.09929331144264401,0.20180270405608414,0.2714517116546631,0.1937965303659439,0.2840796893629425,0.27739511300433617,0.2825847517905098,2.0,heckman,0.192830436606294,0.21473388843834143,0.2669541006551166,0.28277067247129706,-0.008972267449790128,-0.015816571816180458,0.00018592068078726598,-0.056717823216321656
risk_hard,0.1,1,60000,37829,4187,0.0996525133282559,0.19539590747330962,0.25,0.18947239220142365,0.27115963040915614,0.27337603993756043,0.27239335677332144,2.0,none (biased baseline),0.18947239220142365,,0.27337603993756043,0.27239335677332144,-0.005923515271885976,0.0009826831642389955,0.0,
risk_hard,0.1,1,60000,37829,4187,0.0996525133282559,0.19539590747330962,0.25,0.18947239220142365,0.27115963040915614,0.27337603993756043,0.27239335677332144,2.0,parcelling,0.217226766859538,0.46859326486744685,0.35764534939802006,0.2544148413749483,0.02183085938622839,0.10323050802307177,-0.01797851539837314,0.21859326486744685
risk_hard,0.1,1,60000,37829,4187,0.0996525133282559,0.19539590747330962,0.25,0.18947239220142365,0.27115963040915614,0.27337603993756043,0.27239335677332144,2.0,fuzzy,0.21763882630939113,0.472728227811089,0.35876453789649543,0.25426022241373136,0.02224291883608151,0.10450431548276407,-0.018133134359590075,0.22272822781108897
risk_hard,0.1,1,60000,37829,4187,0.0996525133282559,0.19539590747330962,0.25,0.18947239220142365,0.27115963040915614,0.27337603993756043,0.27239335677332144,2.0,ipw,0.19008587805020255,0.1962379784540152,0.28249386574695134,0.2723965820988925,-0.005310029423107071,0.010097283648058841,3.225325571065696e-06,-0.053762021545984806
risk_hard,0.1,1,60000,37829,4187,0.0996525133282559,0.19539590747330962,0.25,0.18947239220142365,0.27115963040915614,0.27337603993756043,0.27239335677332144,2.0,heckman,0.1915479953982325,0.2109101357252897,0.2750451433401431,0.27229278168203885,-0.00384791207507712,0.0027523616581042187,-0.00010057509128258424,-0.03908986427471031
risk_hard,0.1,2,60000,37746,4163,0.0993342718747763,0.195401028135537,0.26799556612968445,0.1873503178358078,0.2721756641569233,0.26596051101849394,0.2696391597704111,2.0,none (biased baseline),0.1873503178358078,,0.26596051101849394,0.2696391597704111,-0.008050710299729202,-0.0036786487519171462,0.0,
risk_hard,0.1,2,60000,37746,4163,0.0993342718747763,0.195401028135537,0.26799556612968445,0.1873503178358078,0.2721756641569233,0.26596051101849394,0.2696391597704111,2.0,parcelling,0.22212412234079026,0.48210425174153254,0.35209846727917515,0.25871468256235586,0.02672309420525326,0.0933837847168193,-0.010924477208055228,0.2141086856118481
risk_hard,0.1,2,60000,37746,4163,0.0993342718747763,0.195401028135537,0.26799556612968445,0.1873503178358078,0.2721756641569233,0.26596051101849394,0.2696391597704111,2.0,fuzzy,0.22188353455711513,0.47968224995771297,0.3630171821993664,0.25820575697894843,0.026482506421578123,0.10481142522041798,-0.011433402791462655,0.21168668382802852
risk_hard,0.1,2,60000,37746,4163,0.0993342718747763,0.195401028135537,0.26799556612968445,0.1873503178358078,0.2721756641569233,0.26596051101849394,0.2696391597704111,2.0,ipw,0.19878257885213482,0.24712449049578153,0.28543111977641367,0.2697119605966014,0.00338155071659782,0.01571915917981226,7.280082619032235e-05,-0.02087107563390292
risk_hard,0.1,2,60000,37746,4163,0.0993342718747763,0.195401028135537,0.26799556612968445,0.1873503178358078,0.2721756641569233,0.26596051101849394,0.2696391597704111,2.0,heckman,0.19703565684102328,0.22953819345910775,0.2828644527614237,0.26978969773081407,0.0016346287054862796,0.01307475503060962,0.0001505379604029855,-0.038457372670576695
risk_hard,0.1,3,60000,37782,4228,0.10064270411806713,0.19911061700944968,0.2962150275707245,0.18816107511520386,0.2834769853028485,0.2684334742180896,0.2748935195131683,2.0,none (biased baseline),0.18816107511520386,,0.2684334742180896,0.2748935195131683,-0.010949541894245823,-0.006460045295078709,0.0,
risk_hard,0.1,3,60000,37782,4228,0.10064270411806713,0.19911061700944968,0.2962150275707245,0.18816107511520386,0.2834769853028485,0.2684334742180896,0.2748935195131683,2.0,parcelling,0.21925731932824635,0.4607379375591296,0.33893036787807573,0.2768606977760044,0.020146702318796672,0.06206967010207132,0.0019671782628361,0.16452290998840513
