cutoff_type,rejection_rate,method,bad_rate_bias,bad_rate_bias_sd,abs_bad_rate_bias,gini_bias,gini_bias_sd,abs_gini_bias,gini_uplift,gini_uplift_sd,actual_ttd_gini,truth_ttd_bad_rate,oracle_ttd_gini,realised_rejection_rate,n_reps
random,0.1,fuzzy,0.018936790884839357,0.006068576429739592,0.018936790884839357,0.014696320212321501,0.010738499570518669,0.014713093313561965,0.0007050447303073692,0.0015065500002596035,0.2773758898015084,0.1995662035267702,0.27888260065956894,0.1001405829335988,5
random,0.1,heckman,0.008719640490642671,0.024134957204670907,0.020215829317453676,0.0019156921427837315,0.013913789379328087,0.008909308029988194,-0.00017116415641726945,0.000274257922978056,0.2764996809147838,0.1995662035267702,0.27888260065956894,0.1001405829335988,5
random,0.1,ipw,-0.000918495358108784,0.005986618894199972,0.004578774946995401,0.010044213070809827,0.011561252208173849,0.012516654626522294,0.0003262143019379771,0.0007383987927288136,0.276997059373139,0.1995662035267702,0.27888260065956894,0.1001405829335988,5
random,0.1,none (biased baseline),-0.0011757911961427724,0.0004906870383965038,0.0011757911961427724,-0.000808027054232241,0.002079111175798342,0.0016029552679260207,0.0,0.0,0.27667084507120104,0.1995662035267702,0.27888260065956894,0.1001405829335988,5
random,0.1,parcelling,0.01852917231060409,0.006206807198867167,0.01852917231060409,0.016708839433680244,0.013195172347978418,0.017044923753930918,-0.00035255740769786216,0.0011645015588827394,0.2763182876635032,0.1995662035267702,0.27888260065956894,0.1001405829335988,5
random,0.3,fuzzy,0.05775179667981441,0.005511118927843908,0.05775179667981441,0.03442456113483945,0.010143306916781121,0.03442456113483945,-0.00015721317323920126,0.004142837268194174,0.27545691329661864,0.1995662035267702,0.27888260065956894,0.30012665624438534,5
random,0.3,heckman,0.014302708437043399,0.04697483449686636,0.037796271800882096,0.0019925462109111614,0.005125660198328452,0.0041740333346158565,-0.00020718236537291544,0.00028546786990682444,0.27540694410448496,0.1995662035267702,0.27888260065956894,0.30012665624438534,5
random,0.3,ipw,-0.0016500210347989764,0.005020427246853816,0.0034193476831776426,0.014503788802752026,0.01021617397437718,0.014503788802752026,0.00033182649068721484,0.0013400176344737888,0.2759459529605451,0.1995662035267702,0.27888260065956894,0.30012665624438534,5
random,0.3,none (biased baseline),-0.0004349799673906363,0.0010118367439477176,0.0007549692991953627,0.0018889402295099167,0.004849195507119605,0.0040091087886231945,0.0,0.0,0.27561412646985783,0.1995662035267702,0.27888260065956894,0.30012665624438534,5
random,0.3,parcelling,0.05882407635241248,0.005848652265488939,0.05882407635241248,0.038464886047287684,0.014635014610370863,0.038464886047287684,-8.242989740692153e-05,0.0014146219119826643,0.2755316965724509,0.1995662035267702,0.27888260065956894,0.30012665624438534,5
random,0.5,fuzzy,0.09936370228830058,0.006194498599608674,0.09936370228830056,0.051357801811844885,0.010872922903025016,0.051357801811844885,-0.003033080217995421,0.0007143730423291644,0.27001514859673503,0.1995662035267702,0.27888260065956894,0.5002060638078307,5
random,0.5,heckman,-0.0061105922789191445,0.05016464800401819,0.03171829430710162,0.0030110417086989917,0.005283436943858492,0.005082319818234593,-0.0001390577627133016,0.0003435311262596239,0.2729091710520172,0.1995662035267702,0.27888260065956894,0.5002060638078307,5
random,0.5,ipw,-6.207258792172432e-05,0.005710135771002119,0.004337265691678827,0.014537349789391918,0.01030580146273748,0.014537349789391918,2.732228174266993e-05,0.0013081342532307249,0.27307555109647313,0.1995662035267702,0.27888260065956894,0.5002060638078307,5
random,0.5,none (biased baseline),-0.0002071024697176016,0.002020451020751784,0.0015294987664539518,-0.0015146125133103094,0.007961799451513572,0.0063667895024170475,0.0,0.0,0.27304822881473045,0.1995662035267702,0.27888260065956894,0.5002060638078307,5
random,0.5,parcelling,0.09871759739353814,0.006613657696151981,0.09871759739353815,0.05412641380245455,0.00906197388756803,0.05412641380245455,-0.002911814220926301,0.0017596153507794335,0.27013641459380416,0.1995662035267702,0.27888260065956894,0.5002060638078307,5
random,0.7,fuzzy,0.1367686111759398,0.00883923151252572,0.1367686111759398,0.07386798844632687,0.019181770588290608,0.07386798844632687,-0.0014716177379163753,0.0008398889091814623,0.26831107256416803,0.1995662035267702,0.27888260065956894,0.6996492265865037,5
random,0.7,heckman,-0.0172187497964622,0.02364239531153733,0.01932894650869112,0.0203656727827783,0.01799051777188757,0.02266259590214763,-0.0002848271736009877,0.000363416093556002,0.2694978631284834,0.1995662035267702,0.27888260065956894,0.6996492265865037,5
random,0.7,ipw,-0.0016210562970742249,0.006663266200589144,0.0043723261943410755,0.021763952370658,0.01575233118025125,0.02216944733702735,0.00018524207515380198,0.001042198008787113,0.2699679323772382,0.1995662035267702,0.27888260065956894,0.6996492265865037,5
random,0.7,none (biased baseline),0.0008847741562971079,0.008366419311651687,0.005823318318403614,0.002455151885760287,0.01579509805859115,0.014173077241938881,0.0,0.0,0.2697826903020844,0.1995662035267702,0.27888260065956894,0.6996492265865037,5
random,0.7,parcelling,0.13631880231055224,0.00907513936051847,0.13631880231055224,0.07944929149820665,0.021300005881447495,0.07944929149820665,-0.0010234463755492307,0.0021997492551039557,0.26875924392653516,0.1995662035267702,0.27888260065956894,0.6996492265865037,5
risk_hard,0.1,fuzzy,0.01998167874333362,0.0053100641931901746,0.01998167874333362,0.09182991609130564,0.017474131481122156,0.09182991609130564,-0.012279971097895182,0.00902485885344698,0.26289958675930075,0.1995662035267702,0.27888260065956894,0.09970095809852678,5
risk_hard,0.1,heckman,-0.005614793261543466,0.005477498066317289,0.006268644743737978,0.0021945093850844976,0.010803433048172585,0.008521138111556682,-0.00028683823515605054,0.0005124890366772488,0.27489271962203987,0.1995662035267702,0.27888260065956894,0.09970095809852678,5
risk_hard,0.1,ipw,-0.005933792147146194,0.005754811621732838,0.007286412433785322,0.008834854714225581,0.009214222483113146,0.011573801244772497,-0.00013927872774863737,0.00039303840287044253,0.2750402791294473,0.1995662035267702,0.27888260065956894,0.09970095809852678,5
risk_hard,0.1,none (biased baseline),-0.0079819204132906,0.001874410131303498,0.0079819204132906,-0.0036406344783236123,0.002818334761829418,0.00403370774401921,0.0,0.0,0.27517955785719594,0.1995662035267702,0.27888260065956894,0.09970095809852678,5
risk_hard,0.1,parcelling,0.01971377215530314,0.005943923084207293,0.01971377215530314,0.08670932868912624,0.015253205975335945,0.08670932868912624,-0.011128876153100986,0.008941558094902595,0.26405068170409496,0.1995662035267702,0.27888260065956894,0.09970095809852678,5
risk_hard,0.3,fuzzy,0.059234994757479266,0.0048133050131597905,0.059234994757479266,0.18033339536376114,0.009842556510806282,0.18033339536376114,-0.02288607989706235,0.01063724642981503,0.25071428486832636,0.1995662035267702,0.27888260065956894,0.29942714655379604,5
risk_hard,0.3,heckman,-0.010474936500762061,0.0044926804784643296,0.010474936500762061,-0.0071452889880367024,0.012364952506635944,0.009545922783520266,-0.000628080657581176,0.0003492578051739558,0.27297228410780755,0.1995662035267702,0.27888260065956894,0.29942714655379604,5
risk_hard,0.3,ipw,-0.01779845620736084,0.005565961072140435,0.01779845620736084,0.006574891967104301,0.014575666654240097,0.013906578695102523,0.000315269508227356,0.0015032848240086067,0.2739156342736161,0.1995662035267702,0.27888260065956894,0.29942714655379604,5
risk_hard,0.3,none (biased baseline),-0.022097742728506665,0.0033228070767252773,0.022097742728506665,-0.00833652431524099,0.003662567200091562,0.00833652431524099,0.0,0.0,0.27360036476538874,0.1995662035267702,0.27888260065956894,0.29942714655379604,5
risk_hard,0.3,parcelling,0.05876288475710625,0.005291308560264674,0.05876288475710625,0.18002314689869245,0.0119828943670275,0.18002314689869245,-0.025198342737903178,0.012081620531839359,0.24840202202748554,0.1995662035267702,0.27888260065956894,0.29942714655379604,5
risk_hard,0.5,fuzzy,0.07287687347706892,0.006841609768880881,0.07287687347706892,0.1628078532704163,0.008807929544126852,0.1628078532704163,-0.003980641945487706,0.010549288895619053,0.25503735704532277,0.1995662035267702,0.27888260065956894,0.49953567019922457,5
risk_hard,0.5,heckman,-0.025882675479448614,0.0046618831782421315,0.025882675479448614,-0.008196517282748016,0.015350014963819787,0.011294188578934028,-0.00099418532765716,0.0002659575291859301,0.2580238136631533,0.1995662035267702,0.27888260065956894,0.49953567019922457,5
risk_hard,0.5,ipw,-0.03865236843082644,0.0051236636602351275,0.03865236843082644,0.017590976703292415,0.015044431381637812,0.02065356894396837,-0.0009331699078293898,0.0025372368975212535,0.2580848290829811,0.1995662035267702,0.27888260065956894,0.49953567019922457,5
