n_swap_in_rows,n_swap_out_rows,book_applicants,swap_in_applicants,swap_rate,model_vs_actual_decision_corr,breakeven_bad_rate_36m,breakeven_bad_rate_60m,swap_in_inferred_bad_rate,swap_in_mean_amount,profit_forgone_population,profit_forgone_ci_lo,profit_forgone_ci_hi,profit_per_swap_in_applicant,frac_swap_in_profitable,swap_out_inferred_bad_rate,profit_avoided_population,method
29095,171507,2260668.000000001,969364.9667414986,0.42879581023905244,0.5943593678698801,0.1472780651749545,0.07594370301939052,0.1924961269662997,9756.6443718852,-661636754.3170848,-669271951.2634081,-654083939.5303981,-682.5465918591672,0.0006186630005155522,0.36703621501756745,2352854903.4850426,parcelling
29606,174525,2260668.000000001,986390.0740796977,0.4363268175953733,0.5870519908609023,0.1472780651749545,0.07594370301939052,0.1800815628383487,8986.666317638315,-555257779.2568369,-561836032.9887353,-548791688.4048096,-562.9190660448328,0.004323447949739917,0.368770221990284,2539807313.673911,fuzzy
47005,277063,2260668.000000001,1566076.654465858,0.6927495122971871,0.2686236167059613,0.1472780651749545,0.07594370301939052,0.12962347972015262,7134.941080736091,-309147345.2537711,-312334196.5624614,-306073505.0450161,-197.40243516956843,0.0017444952664610145,0.2384899842327545,1483687993.2303169,ipw
45839,270038,2260668.000000001,1527228.757878108,0.6755652567639774,0.28456461433298424,0.1472780651749545,0.07594370301939052,0.1251099216084041,7147.503610462705,-280241636.8090735,-283314630.7467806,-277230041.7535222,-183.4968306898791,0.012805689478391759,0.23700217895664383,1428216642.6391382,heckman
