feature,bin,n,bad_rate,woe,coef,points
risk_score,"(-inf, 667]",49572.0,0.2599047849592512,-0.3485779218269559,-1.047114410679011,94.95060416264671
risk_score,"(667, 677]",46219.0,0.23979315865769488,-0.2412332774543156,-1.047114410679011,98.19384390116815
risk_score,"(677, 687]",40548.0,0.22158922758212488,-0.13862701503234334,-1.047114410679011,101.29392131679481
risk_score,"(687, 697]",34780.0,0.20267395054629098,-0.02540397886293716,-1.047114410679011,104.71476687799415
risk_score,"(697, 707]",28767.0,0.18399555045712102,0.09441883506727265,-1.047114410679011,108.33501373792006
risk_score,"(707, 717]",22206.0,0.1616680176528866,0.25074057794291515,-1.047114410679011,113.05801497801205
risk_score,"(717, 737]",27645.0,0.1383251944293724,0.43414455671249225,-1.047114410679011,118.59926089321154
risk_score,"(737, inf]",30314.0,0.09599524971960151,0.8473661080117582,-1.047114410679011,131.08406219671124
dti,"(-inf, 8.18]",35038.0,0.14250242593755352,0.39956635632035203,-0.9100358517287818,115.97415284092605
dti,"(8.18, 12.81]",46672.0,0.15617500857044908,0.2919025139715779,-0.9100358517287818,113.14710660254678
dti,"(12.81, 15.68]",34929.0,0.17234962352200178,0.1739904721448164,-0.9100358517287818,110.05096227931045
dti,"(15.68, 19.57]",46704.0,0.1921034600890716,0.041347971681695274,-0.9100358517287818,106.56802433280164
dti,"(19.57, 22.8]",34995.0,0.21091584512073153,-0.07564534923465427,-0.9100358517287818,103.4960038605931
dti,"(22.8, 25.36]",23274.0,0.22432757583569649,-0.15445462146883074,-0.9100358517287818,101.42662335402257
dti,"(25.36, 30.66]",34958.0,0.25221694604954514,-0.30822376958789827,-0.9100358517287818,97.38894011436484
dti,"(30.66, inf]",23303.0,0.2956271724670643,-0.5268428992374761,-0.9100358517287818,91.64842059889513
dti,MISSING,178.0,0.20224719101123595,-0.03297973720986648,-0.9100358517287818,104.6163210938578
emp_length_yrs,"(-inf, 0.5]",22447.0,0.20448166792889919,-0.036588361789141134,-1.2047587636882857,104.21042154849634
emp_length_yrs,"(0.5, 1]",18453.0,0.2034357557036796,-0.030164640191542927,-1.2047587636882857,104.43372289364352
emp_length_yrs,"(1, 4]",65024.0,0.19972625492125984,-0.0070457431387658765,-1.2047587636882857,105.23738175895521
emp_length_yrs,"(4, 5]",17509.0,0.19921183391398709,-0.003902977733982058,-1.2047587636882857,105.34663053814151
emp_length_yrs,"(5, 9]",48585.0,0.19411340948852526,0.028437208322005355,-1.2047587636882857,106.47083975843395
emp_length_yrs,"(9, inf]",91964.0,0.18573572267408986,0.0829145667771186,-1.2047587636882857,108.36458114156608
emp_length_yrs,MISSING,16069.0,0.26678698114381727,-0.3841114319108234,-1.2047587636882857,92.12982810296774
amount_requested,"(-inf, 4,200]",23640.0,0.14784263959390864,0.3564882736756012,-1.2400158525237763,118.23720471216251
amount_requested,"(4,200, 6,000]",28882.0,0.15687971747108925,0.2865242010169086,-1.2400158525237763,115.73393955760126
amount_requested,"(6,000, 9,600]",41195.0,0.17145284621920137,0.1802930924627896,-1.2400158525237763,111.93306544795351
amount_requested,"(9,600, 1.2e+04]",48640.0,0.19718338815789474,0.008936544767757116,-1.2400158525237763,105.80204907697339
amount_requested,"(1.2e+04, 1.5e+04]",32545.0,0.20964817944384698,-0.06802267917260135,-1.2400158525237763,103.04850234518462
amount_requested,"(1.5e+04, 2e+04]",44439.0,0.2250275658768199,-0.15844716803666553,-1.2400158525237763,99.8131779352312
amount_requested,"(2e+04, 2.95e+04]",37391.0,0.22556230108849723,-0.1615174373382632,-1.2400158525237763,99.70332586593697
amount_requested,"(2.95e+04, inf]",23319.0,0.24362108152150608,-0.26214750717088176,-1.2400158525237763,96.1028529697703
state,AL,3488.0,0.24053899082568808,-0.2455545185543941,-1.011392079210615,98.31638486206539
state,AZ,6779.0,0.190736096769435,0.050064542835154595,-1.011392079210615,106.94331967586744
state,CA,41198.0,0.19299480557308607,0.03574472222173248,-1.011392079210615,106.5254299822981
state,CO,6145.0,0.15052888527257932,0.33514006574699745,-1.011392079210615,115.26256655261145
state,CT,4143.0,0.18030412744388125,0.11889219939689963,-1.011392079210615,108.95189011024308
state,FL,19722.0,0.2159010242368928,-0.10524417502439962,-1.011392079210615,102.41100643905627
state,GA,8916.0,0.1838268281740691,0.0955218153654599,-1.011392079210615,108.26988138365738
state,IL,10941.0,0.17950827163878988,0.12460942313210802,-1.011392079210615,109.11873360216045
state,IN,4504.0,0.20226465364120783,-0.023083921179835803,-1.011392079210615,104.80865681677828
state,LA,3341.0,0.22807542651900628,-0.17612591176647735,-1.011392079210615,100.34249259056259
state,MA,6648.0,0.18922984356197353,0.05984334543418664,-1.011392079210615,107.22869062651706
state,MD,6403.0,0.21208808371076057,-0.08275865693143439,-1.011392079210615,103.06719247094058
state,MI,7209.0,0.1983631571646553,0.001418876274541622,-1.011392079210615,105.52371231895431
state,MN,4979.0,0.19963848162281583,-0.0066963083956644584,-1.011392079210615,105.28689007608959
state,MO,4465.0,0.21746920492721164,-0.11476994986992649,-1.011392079210615,102.13301949783184
state,NC,7816.0,0.20637154554759468,-0.048166347578705714,-1.011392079210615,104.07668623105918
state,NJ,10060.0,0.2118290258449304,-0.08111023923622501,-1.011392079210615,103.1152975962855
state,NV,4122.0,0.220281416787967,-0.1312420482241,-1.011392079210615,101.65232072935582
state,NY,22786.0,0.21701922232950058,-0.1118251318326071,-1.011392079210615,102.21895696454
state,OH,9033.0,0.19827299900365328,0.0020389289288814194,-1.011392079210615,105.54180707172489
state,OR,3399.0,0.15239776404824948,0.3202519792375237,-1.011392079210615,114.82809337887308
state,PA,9450.0,0.2091005291005291,-0.06470464031678656,-1.011392079210615,103.59405573790912
state,SC,3278.0,0.17571690054911532,0.15008294583463425,-1.011392079210615,109.86211739750718
state,TN,4207.0,0.20893748514380794,-0.06395079710646998,-1.011392079210615,103.61605484786048
state,TX,22864.0,0.1964223233030091,0.013848423456973156,-1.011392079210615,105.88643890635326
state,VA,7928.0,0.20560040363269425,-0.04344947040663161,-1.011392079210615,104.21433700261946
state,WA,6042.0,0.15508109897384972,0.29998264718141154,-1.011392079210615,114.23658143256807
state,WI,3707.0,0.18208794173185863,0.10681521944833616,-1.011392079210615,108.59945235378002
state,__OTHER__,26478.0,0.19820228113905883,0.00262224155245581,-1.011392079210615,105.55882965462597
